infra_id,infra_kind,longueur,material_cost,labor_cost_continuous,total_cost,duration_hours_4workers,beneficiaries_proxy,is_hospital_path,phase
P000604,semi-aerien,4.98282106064181,3737.1157954813575,747.4231590962715,4484.538954577629,4.98282106064181,2,False,2
P000621,aerien,6.05514938826793,3027.574694133965,454.13620412009476,3481.7108982540594,3.027574694133965,2,False,2
P000627,fourreau,4.90868168597643,4417.813517378787,920.3778161205806,5338.191333499368,6.135852107470537,2,False,2
P000635,aerien,5.16644492273189,2583.222461365945,387.48336920489174,2970.705830570837,2.583222461365945,2,False,2
P000644,aerien,5.79686473036686,2898.4323651834297,434.7648547775145,3333.197219960944,2.89843236518343,2,False,2
P002445,aerien,6.96033389014315,3480.166945071575,522.0250417607363,4002.191986832311,3.480166945071575,2,False,2
P004251,aerien,5.83511135139461,2917.555675697305,437.63335135459573,3355.1890270519007,2.917555675697305,2,False,2
P007686,aerien,7.59049553958964,3795.24776979482,569.287165469223,4364.534935264043,3.79524776979482,2,False,2
P007689,aerien,5.1037127857757,2551.8563928878502,382.77845893317755,2934.634851821028,2.55185639288785,2,False,2
P007695,fourreau,4.38499382431335,3946.4944418820146,822.186342058753,4768.6807839407675,5.481242280391687,2,False,2
P007764,semi-aerien,4.11611330130554,3087.084975979155,617.416995195831,3704.501971174986,4.11611330130554,2,False,2
P007802,semi-aerien,4.65316558492902,3489.874188696765,697.974837739353,4187.849026436118,4.65316558492902,2,False,2
P007618,aerien,3.98512786168602,1992.56393084301,298.8845896264515,2291.4485204694615,1.99256393084301,1,False,2
P007648,aerien,3.39796783687204,1698.98391843602,254.847587765403,1953.831506201423,1.69898391843602,1,False,2
P007752,aerien,3.12835142463862,1564.1757123193102,234.62635684789652,1798.8020691672066,1.56417571231931,1,False,2
P008022,aerien,34.8372572653182,17418.6286326591,2612.7942948988652,20031.422927557964,17.4186286326591,7,False,3
P008028,aerien,36.9797725156077,18489.88625780385,2773.4829386705774,21263.36919647443,18.48988625780385,6,False,3
P008029,semi-aerien,32.2334229767792,24175.067232584403,4835.01344651688,29010.080679101284,32.2334229767792,6,False,3
P007988,semi-aerien,17.9351395403247,13451.354655243524,2690.270931048705,16141.625586292228,17.9351395403247,5,False,3
P007999,aerien,42.1144223056854,21057.2111528427,3158.581672926405,24215.792825769106,21.0572111528427,5,False,3
P006193,fourreau,12.1863879405322,10967.74914647898,2284.9477388497876,13252.696885328767,15.23298492566525,4,False,3
P001391,fourreau,7.63593644945982,6872.342804513838,1431.7380842737161,8304.080888787554,9.544920561824775,3,False,3
P007507,fourreau,8.2451799365212,7420.66194286908,1545.9712380977248,8966.633180966805,10.3064749206515,3,False,3
P007552,fourreau,8.33224937288682,7499.024435598138,1562.2967574162788,9061.321193014417,10.415311716108524,3,False,3
P007554,fourreau,8.72690474251765,7854.214268265885,1636.2946392220592,9490.508907487943,10.908630928147062,3,False,3
P007595,semi-aerien,10.0082136912815,7506.160268461124,1501.2320536922248,9007.39232215335,10.0082136912815,3,False,3
P007715,semi-aerien,11.9577038177932,8968.2778633449,1793.65557266898,10761.93343601388,11.9577038177932,3,False,3
P008030,semi-aerien,10.1313417193291,7598.506289496825,1519.701257899365,9118.20754739619,10.1313417193291,3,False,3
P003903,aerien,10.912493042733,5456.2465213665,818.436978204975,6274.683499571475,5.4562465213665,2,False,3
P005915,semi-aerien,12.8261922697184,9619.6442022888,1923.9288404577599,11543.57304274656,12.8261922697184,2,False,3
P007458,fourreau,6.8843047480427,6195.87427323843,1290.8071402580063,7486.681413496436,8.605380935053375,2,False,3
P007478,semi-aerien,12.9024250386495,9676.818778987126,1935.363755797425,11612.182534784552,12.9024250386495,2,False,3
P007528,aerien,10.759672538483,5379.8362692415,806.975440386225,6186.811709627726,5.3798362692415,2,False,3
P007566,fourreau,6.60727277655205,5946.545498896845,1238.8636456035092,7185.409144500354,8.259090970690062,2,False,3
P007580,fourreau,8.43108274854405,7587.974473689645,1580.8280153520093,9168.802489041655,10.538853435680062,2,False,3
P007766,semi-aerien,10.9647553869973,8223.566540247975,1644.713308049595,9868.27984829757,10.9647553869973,2,False,3
P008023,semi-aerien,11.2796548571624,8459.7411428718,1691.94822857436,10151.68937144616,11.2796548571624,2,False,3
P000717,aerien,5.06471817304192,2532.3590865209603,379.85386297814404,2912.2129494991045,2.53235908652096,1,False,3
P007565,aerien,6.4644213871373,3232.2106935686497,484.83160403529746,3717.042297603947,3.23221069356865,1,False,3
P007727,aerien,6.32141109105695,3160.705545528475,474.10583182927127,3634.811377357746,3.160705545528475,1,False,3
P007731,fourreau,3.79968906454059,3419.7201580865312,712.4416996013606,4132.161857687892,4.749611330675737,1,False,3
P007768,aerien,9.32956330061528,4664.78165030764,699.717247546146,5364.498897853786,4.66478165030764,1,False,3
P007785,aerien,8.13675729756796,4068.37864878398,610.256797317597,4678.635446101577,4.06837864878398,1,False,3
P008015,fourreau,34.6108377868067,31149.754008126027,6489.532085026256,37639.28609315228,43.263547233508376,4,False,4
P007998,aerien,37.0636340148083,18531.81700740415,2779.7725511106228,21311.589558514774,18.53181700740415,3,False,4
P007562,fourreau,10.7507961303452,9675.71651731068,2015.774274439725,11691.490791750406,13.4384951629315,2,False,4
P008014,semi-aerien,13.8302331906613,10372.674892995974,2074.534978599195,12447.209871595169,13.8302331906613,2,False,4
P008024,fourreau,18.3100645954404,16479.05813589636,3433.137111645075,19912.195247541436,22.8875807443005,2,False,4
P000750,fourreau,5.4200839327337,4878.07553946033,1016.2657373875687,5894.341276847899,6.775104915917125,1,False,4
P002717,fourreau,6.93113318288768,6238.019864598912,1299.58747179144,7537.607336390352,8.6639164786096,1,False,4
P005193,fourreau,14.491126102841,13042.0134925569,2717.086144282687,15759.099636839586,18.11390762855125,1,False,4
P006106,aerien,12.8869548736554,6443.4774368277,966.521615524155,7409.999052351855,6.4434774368277,1,False,4
P007113,aerien,12.1935087083631,6096.754354181549,914.5131531272325,7011.267507308782,6.09675435418155,1,False,4
P007529,aerien,12.4769836838268,6238.4918419134,935.77377628701,7174.26561820041,6.2384918419134,1,False,4
P007530,aerien,12.7359304342272,6367.9652171135995,955.19478256704,7323.15999968064,6.3679652171136,1,False,4
P007823,aerien,12.290282829583,6145.141414791499,921.7712122187249,7066.912627010224,6.1451414147915,1,False,4
P007984,aerien,30.0575979492587,15028.79897462935,2254.3198461944025,17283.11882082375,15.02879897462935,1,False,4
P007992,fourreau,10.3986057299725,9358.74515697525,1949.738574369844,11308.483731345093,12.998257162465626,1,False,4
P008021,aerien,14.9117118858221,7455.85594291105,1118.3783914366575,8574.234334347708,7.45585594291105,1,False,4
P008027,fourreau,20.455789433764,18410.2104903876,3835.46051883075,22245.67100921835,25.569736792205,1,False,4
